roi,cell_id,leiden_cluster,umap_1,umap_2,n_genes,total_counts,cell_type
Sample_007_Region,16142-sample_1_lv_0046706_007,18,16.21776,1.7649878,0,349,Th
Sample_007_Region,16143-sample_1_lv_0046706_007,5,12.303864,5.2408586,0,541,Mono_mac
Sample_007_Region,16144-sample_1_lv_0046706_007,12,13.540216,6.627721,0,187,F1
Sample_007_Region,21172-sample_1_lv_0046706_007,23,6.0435486,17.95495,0,257,Differentiated_KC
Sample_007_Region,21173-sample_1_lv_0046706_007,21,17.01293,18.051353,0,369,Undifferentiated_KC
Sample_007_Region,21174-sample_1_lv_0046706_007,6,13.152396,13.610772,0,481,Undifferentiated_KC
Sample_007_Region,21175-sample_1_lv_0046706_007,7,15.77419,12.83194,0,228,MigDC
Sample_007_Region,21176-sample_1_lv_0046706_007,7,15.781157,12.464948,0,290,LC
Sample_007_Region,21177-sample_1_lv_0046706_007,21,16.6526,18.003603,0,182,Differentiated_KC
Sample_007_Region,21178-sample_1_lv_0046706_007,1,9.844206,10.284827,0,516,LC
Sample_007_Region,21179-sample_1_lv_0046706_007,30,17.187433,-0.36291695,0,117,Th
Sample_007_Region,21181-sample_1_lv_0046706_007,0,-4.3746095,5.7329087,0,88,Mono_mac
Sample_007_Region,21182-sample_1_lv_0046706_007,0,-4.802198,5.35544,0,2,Differentiated_KC
Sample_007_Region,21183-sample_1_lv_0046706_007,12,12.771086,7.6981497,0,243,Th
Sample_007_Region,21184-sample_1_lv_0046706_007,31,10.376612,-1.2807035,0,453,Undifferentiated_KC
Sample_007_Region,21185-sample_1_lv_0046706_007,31,10.698461,-1.3744365,0,533,Undifferentiated_KC
Sample_007_Region,21186-sample_1_lv_0046706_007,6,14.233932,14.832313,0,1092,Undifferentiated_KC
Sample_007_Region,21187-sample_1_lv_0046706_007,1,9.289833,9.957153,0,528,Undifferentiated_KC
Sample_007_Region,21188-sample_1_lv_0046706_007,6,13.328487,13.597876,0,578,Undifferentiated_KC
Sample_007_Region,21189-sample_1_lv_0046706_007,6,13.843637,14.6482935,0,781,Undifferentiated_KC
Sample_007_Region,21190-sample_1_lv_0046706_007,6,13.23893,13.655648,0,589,Undifferentiated_KC
Sample_007_Region,21191-sample_1_lv_0046706_007,21,16.493324,20.130123,0,780,Macro_1
Sample_007_Region,21192-sample_1_lv_0046706_007,21,16.742056,19.669588,0,356,Macro_1
Sample_007_Region,21193-sample_1_lv_0046706_007,21,16.39536,20.121769,0,685,F1
Sample_007_Region,21194-sample_1_lv_0046706_007,21,16.649607,19.60125,0,261,Differentiated_KC
Sample_007_Region,21195-sample_1_lv_0046706_007,1,4.6602893,0.4003545,0,314,Undifferentiated_KC
Sample_007_Region,21196-sample_1_lv_0046706_007,6,14.243386,15.822253,0,447,Undifferentiated_KC
Sample_007_Region,21197-sample_1_lv_0046706_007,14,10.997914,4.1125216,0,612,F1
Sample_007_Region,21198-sample_1_lv_0046706_007,6,13.551228,14.97709,0,791,Undifferentiated_KC
Sample_007_Region,21199-sample_1_lv_0046706_007,1,4.7731895,0.4703374,0,537,Undifferentiated_KC
Sample_007_Region,21200-sample_1_lv_0046706_007,6,13.679948,15.006473,0,275,Undifferentiated_KC
Sample_007_Region,21201-sample_1_lv_0046706_007,6,12.252584,14.062163,0,377,Undifferentiated_KC
Sample_007_Region,21202-sample_1_lv_0046706_007,6,14.198227,15.7294235,0,523,Undifferentiated_KC
Sample_007_Region,21203-sample_1_lv_0046706_007,21,16.893951,17.957287,0,518,Differentiated_KC
Sample_007_Region,21204-sample_1_lv_0046706_007,4,15.393805,9.809132,0,518,Undifferentiated_KC
Sample_007_Region,21205-sample_1_lv_0046706_007,4,14.222584,6.1110106,0,892,Undifferentiated_KC
Sample_007_Region,21206-sample_1_lv_0046706_007,6,13.442017,14.050121,0,910,Undifferentiated_KC
Sample_007_Region,21207-sample_1_lv_0046706_007,21,16.621172,19.918194,0,842,Differentiated_KC
Sample_007_Region,21208-sample_1_lv_0046706_007,21,16.44918,19.55682,0,648,Undifferentiated_KC
Sample_007_Region,21209-sample_1_lv_0046706_007,21,16.44637,19.82147,0,594,Undifferentiated_KC
Sample_007_Region,21210-sample_1_lv_0046706_007,6,14.154836,14.3917885,0,603,Mono_mac
Sample_007_Region,21211-sample_1_lv_0046706_007,6,13.295808,15.38303,0,252,Undifferentiated_KC
Sample_007_Region,21212-sample_1_lv_0046706_007,21,22.294926,13.574079,0,318,F1
Sample_007_Region,21213-sample_1_lv_0046706_007,21,16.505568,20.005253,0,864,Differentiated_KC
Sample_007_Region,21214-sample_1_lv_0046706_007,21,16.48467,20.176771,0,377,Differentiated_KC
Sample_007_Region,21215-sample_1_lv_0046706_007,21,16.62984,19.79825,0,219,F1
Sample_007_Region,21216-sample_1_lv_0046706_007,21,16.75728,19.831903,0,430,F1
Sample_007_Region,21217-sample_1_lv_0046706_007,21,17.036217,18.061235,0,188,F1
Sample_007_Region,21218-sample_1_lv_0046706_007,21,16.712177,20.10592,0,23,Differentiated_KC
Sample_007_Region,21219-sample_1_lv_0046706_007,21,16.760876,17.614895,0,34,Undifferentiated_KC
Sample_007_Region,21220-sample_1_lv_0046706_007,7,16.37395,11.77358,0,321,MigDC
Sample_007_Region,21221-sample_1_lv_0046706_007,1,4.717608,0.44072434,0,495,Undifferentiated_KC
Sample_007_Region,21222-sample_1_lv_0046706_007,6,13.123764,13.666286,0,352,Undifferentiated_KC
Sample_007_Region,21223-sample_1_lv_0046706_007,7,15.569012,11.841327,0,513,Undifferentiated_KC
Sample_007_Region,21224-sample_1_lv_0046706_007,7,15.874212,12.56948,0,538,Undifferentiated_KC
Sample_007_Region,21225-sample_1_lv_0046706_007,4,7.9042287,8.860947,0,344,Undifferentiated_KC
Sample_007_Region,21226-sample_1_lv_0046706_007,21,16.551622,20.139341,0,264,F1
Sample_007_Region,21227-sample_1_lv_0046706_007,9,9.466437,13.854036,0,389,F2
Sample_007_Region,21228-sample_1_lv_0046706_007,2,10.0028715,6.8871036,0,114,Tc
Sample_007_Region,21229-sample_1_lv_0046706_007,4,14.445499,8.422357,0,651,ILC1_3
Sample_007_Region,21230-sample_1_lv_0046706_007,3,8.917128,6.208953,0,402,F2
Sample_007_Region,21231-sample_1_lv_0046706_007,3,7.561306,4.988402,0,144,F1
Sample_007_Region,21232-sample_1_lv_0046706_007,15,7.8848395,0.14099711,0,112,F3
Sample_007_Region,21233-sample_1_lv_0046706_007,3,9.897875,5.536139,0,153,F1
