index,shape-type,vertex-index,axis-0,axis-1,axis-2
0,polygon,0,0.0,76089.23,25362.07
0,polygon,1,0.0,75492.695,25337.215
0,polygon,2,0.0,75805.875,26227.043
0,polygon,3,0.0,76576.4,26530.281
0,polygon,4,0.0,76735.47,25948.662
0,polygon,5,0.0,76382.52,25655.365
1,polygon,0,0.0,74548.19,25501.262
1,polygon,1,0.0,73961.59,25645.424
1,polygon,2,0.0,74140.555,26435.83
1,polygon,3,0.0,75209.34,27017.45
1,polygon,4,0.0,75353.5,26172.361
1,polygon,5,0.0,75090.03,25705.076
1,polygon,6,0.0,74921.016,25352.129
2,polygon,0,0.0,75010.5,23701.72
2,polygon,1,0.0,74518.36,24268.428
2,polygon,2,0.0,75060.21,24651.203
2,polygon,3,0.0,76064.375,24740.682
2,polygon,4,0.0,76034.55,23860.797
2,polygon,5,0.0,75562.29,23522.762
2,polygon,6,0.0,75244.14,23363.686
3,polygon,0,0.0,73857.2,23686.809
3,polygon,1,0.0,73131.42,23806.115
3,polygon,2,0.0,73325.29,24795.365
3,polygon,3,0.0,74026.22,25173.168
3,polygon,4,0.0,74239.98,24830.162
3,polygon,5,0.0,74220.09,23940.334
3,polygon,6,0.0,74239.98,23642.068
